model,rmse_mean,rmse_std,r2_mean,r2_std
xgboost,3097.0992411340985,305.34053426553993,0.8874605723997371,0.017810445070128137
lightgbm,3101.002193636009,299.45793029411396,0.8871644433229211,0.017694618529999546
linear_regression,3538.2384942737444,300.26551960523136,0.8532711250099763,0.019236620317226692
